,file,ratio,stained,total
0,/Start & TP01/A01.txt,0.9985,1997,2000
1,/Start & TP01/A02.txt,0.078,156,2000
2,/Start & TP01/A03.txt,0.62882096069869,288,458
3,/Start & TP01/A04.txt,0.3540856031128405,182,514
4,/Start & TP01/A05.txt,0.994,1988,2000
5,/Start & TP01/A06.txt,0.0105,21,2000
6,/Start & TP01/A07.txt,0.994,1988,2000
7,/Start & TP01/A08.txt,0.0235,47,2000
8,/Start & TP01/A09.txt,0.5560747663551402,119,214
9,/Start & TP01/A10.txt,0.27898550724637683,77,276
10,/Start & TP01/A11.txt,0.9795,1959,2000
11,/Start & TP01/A12.txt,0.0215,43,2000
12,/Start & TP01/B01.txt,0.9045,1809,2000
13,/Start & TP01/B02.txt,0.5715,1143,2000
14,/Start & TP01/B03.txt,0.177,354,2000
15,/Start & TP01/B04.txt,0.923,1846,2000
16,/Start & TP01/B05.txt,0.5985,1197,2000
17,/Start & TP01/B06.txt,0.192,384,2000
18,/Start & TP01/B07.txt,0.83,1660,2000
19,/Start & TP01/B08.txt,0.416,832,2000
20,/Start & TP01/B09.txt,0.113,226,2000
21,/Start & TP01/B10.txt,0.8235,1647,2000
22,/Start & TP01/B11.txt,0.3905,781,2000
23,/Start & TP01/B12.txt,0.0945,189,2000
24,/Start & TP01/C01.txt,0.884,1768,2000
25,/Start & TP01/C02.txt,0.575,1150,2000
26,/Start & TP01/C03.txt,0.1685,337,2000
27,/Start & TP01/C04.txt,0.913,1826,2000
28,/Start & TP01/C05.txt,0.614,1228,2000
29,/Start & TP01/C06.txt,0.1965,393,2000
30,/Start & TP01/C07.txt,0.8395,1679,2000
31,/Start & TP01/C08.txt,0.429,858,2000
32,/Start & TP01/C09.txt,0.1135,227,2000
33,/Start & TP01/C10.txt,0.83,1660,2000
34,/Start & TP01/C11.txt,0.387,774,2000
35,/Start & TP01/C12.txt,0.091,182,2000
36,/Start & TP01/D01.txt,0.8965,1793,2000
37,/Start & TP01/D02.txt,0.607,1214,2000
38,/Start & TP01/D03.txt,0.165,330,2000
39,/Start & TP01/D04.txt,0.92,1840,2000
40,/Start & TP01/D05.txt,0.64,1280,2000
41,/Start & TP01/D06.txt,0.191,382,2000
42,/Start & TP01/D07.txt,0.8515,1703,2000
43,/Start & TP01/D08.txt,0.402,804,2000
44,/Start & TP01/D09.txt,0.1005,201,2000
45,/Start & TP01/D10.txt,0.8195,1639,2000
46,/Start & TP01/D11.txt,0.394,788,2000
47,/Start & TP01/D12.txt,0.094,188,2000
48,/Start & TP01/E01.txt,0.209,418,2000
49,/Start & TP01/E02.txt,0.679,1358,2000
50,/Start & TP01/E03.txt,0.9455,1891,2000
51,/Start & TP01/E04.txt,0.2,400,2000
52,/Start & TP01/E05.txt,0.608,1216,2000
53,/Start & TP01/E06.txt,0.9375,1875,2000
54,/Start & TP01/E07.txt,0.2285,457,2000
55,/Start & TP01/E08.txt,0.736,1472,2000
56,/Start & TP01/E09.txt,0.948,1896,2000
57,/Start & TP01/E10.txt,0.2855,571,2000
58,/Start & TP01/E11.txt,0.6915,1383,2000
59,/Start & TP01/E12.txt,0.9505,1901,2000
60,/Start & TP01/F01.txt,0.1965,393,2000
61,/Start & TP01/F02.txt,0.681,1362,2000
62,/Start & TP01/F03.txt,0.9535,1907,2000
63,/Start & TP01/F04.txt,0.1875,375,2000
64,/Start & TP01/F05.txt,0.6695,1339,2000
65,/Start & TP01/F06.txt,0.945,1890,2000
66,/Start & TP01/F07.txt,0.232,464,2000
67,/Start & TP01/F08.txt,0.739,1478,2000
68,/Start & TP01/F09.txt,0.9545,1909,2000
69,/Start & TP01/F10.txt,0.247,494,2000
70,/Start & TP01/F11.txt,0.709,1418,2000
71,/Start & TP01/F12.txt,0.957,1914,2000
72,/Start & TP01/G01.txt,0.213,426,2000
73,/Start & TP01/G02.txt,0.6975,1395,2000
74,/Start & TP01/G03.txt,0.953,1906,2000
75,/Start & TP01/G04.txt,0.187,374,2000
76,/Start & TP01/G05.txt,0.6385,1277,2000
77,/Start & TP01/G06.txt,0.947,1894,2000
78,/Start & TP01/G07.txt,0.2695,539,2000
79,/Start & TP01/G08.txt,0.757,1514,2000
80,/Start & TP01/G09.txt,0.9545,1909,2000
81,/Start & TP01/G10.txt,0.237,474,2000
82,/Start & TP01/G11.txt,0.7495,1499,2000
83,/Start & TP01/G12.txt,0.9525,1905,2000
84,/Start & TP01/H01.txt,0.997,1994,2000
85,/Start & TP01/H02.txt,0.036,72,2000
86,/Start & TP01/H03.txt,0.2676056338028169,114,426
87,/Start & TP01/H04.txt,0.15753424657534246,92,584
88,/Start & TP01/H05.txt,0.992,1984,2000
89,/Start & TP01/H06.txt,0.004,8,2000
90,/Start & TP01/H07.txt,0.9955,1991,2000
91,/Start & TP01/H08.txt,0.009,18,2000
92,/Start & TP01/H09.txt,0.22611464968152867,71,314
93,/Start & TP01/H10.txt,0.14027149321266968,62,442
94,/Start & TP01/H11.txt,0.9855,1971,2000
95,/Start & TP01/H12.txt,0.02,40,2000
96,/TP02 & TP03/A01.txt,0.9965,1993,2000
97,/TP02 & TP03/A02.txt,0.0055,11,2000
98,/TP02 & TP03/A03.txt,0.20412371134020618,99,485
99,/TP02 & TP03/A04.txt,0.054285714285714284,19,350
100,/TP02 & TP03/A05.txt,0.98,1960,2000
101,/TP02 & TP03/A06.txt,0.0075,15,2000
102,/TP02 & TP03/A07.txt,0.9945,1989,2000
103,/TP02 & TP03/A08.txt,0.0025,5,2000
104,/TP02 & TP03/A09.txt,0.188212927756654,99,526
105,/TP02 & TP03/A10.txt,0.09923664122137404,52,524
106,/TP02 & TP03/A11.txt,0.9665,1933,2000
107,/TP02 & TP03/A12.txt,0.017,34,2000
108,/TP02 & TP03/B01.txt,0.785,1570,2000
109,/TP02 & TP03/B02.txt,0.3715,743,2000
110,/TP02 & TP03/B03.txt,0.0675,135,2000
111,/TP02 & TP03/B04.txt,0.848,1696,2000
112,/TP02 & TP03/B05.txt,0.3355,671,2000
113,/TP02 & TP03/B06.txt,0.0595,119,2000
114,/TP02 & TP03/B07.txt,0.7015,1403,2000
115,/TP02 & TP03/B08.txt,0.2675,535,2000
116,/TP02 & TP03/B09.txt,0.0465,93,2000
117,/TP02 & TP03/B10.txt,0.7345,1469,2000
118,/TP02 & TP03/B11.txt,0.292,584,2000
119,/TP02 & TP03/B12.txt,0.045,90,2000
120,/TP02 & TP03/C01.txt,0.5145,1029,2000
121,/TP02 & TP03/C02.txt,0.372,744,2000
122,/TP02 & TP03/C03.txt,0.082,164,2000
123,/TP02 & TP03/C04.txt,0.82,1640,2000
124,/TP02 & TP03/C05.txt,0.4135,827,2000
125,/TP02 & TP03/C06.txt,0.086,172,2000
126,/TP02 & TP03/C07.txt,0.7355,1471,2000
127,/TP02 & TP03/C08.txt,0.2885,577,2000
128,/TP02 & TP03/C09.txt,0.0575,115,2000
129,/TP02 & TP03/C10.txt,0.7685,1537,2000
130,/TP02 & TP03/C11.txt,0.313,626,2000
131,/TP02 & TP03/C12.txt,0.032,64,2000
132,/TP02 & TP03/D01.txt,0.78,1560,2000
133,/TP02 & TP03/D02.txt,0.4165,833,2000
134,/TP02 & TP03/D03.txt,0.0905,181,2000
135,/TP02 & TP03/D04.txt,0.8465,1693,2000
136,/TP02 & TP03/D05.txt,0.377,754,2000
137,/TP02 & TP03/D06.txt,0.069,138,2000
138,/TP02 & TP03/D07.txt,0.7295,1459,2000
139,/TP02 & TP03/D08.txt,0.2925,585,2000
140,/TP02 & TP03/D09.txt,0.057,114,2000
141,/TP02 & TP03/D10.txt,0.753,1506,2000
142,/TP02 & TP03/D11.txt,0.306,612,2000
143,/TP02 & TP03/D12.txt,0.0525,105,2000
144,/TP02 & TP03/E01.txt,0.2075,415,2000
145,/TP02 & TP03/E02.txt,0.6475,1295,2000
146,/TP02 & TP03/E03.txt,0.9365,1873,2000
147,/TP02 & TP03/E04.txt,0.155,310,2000
148,/TP02 & TP03/E05.txt,0.628,1256,2000
149,/TP02 & TP03/E06.txt,0.936,1872,2000
150,/TP02 & TP03/E07.txt,0.268,536,2000
151,/TP02 & TP03/E08.txt,0.7325,1465,2000
152,/TP02 & TP03/E09.txt,0.9585,1917,2000
153,/TP02 & TP03/E10.txt,0.1755,351,2000
154,/TP02 & TP03/E11.txt,0.663,1326,2000
155,/TP02 & TP03/E12.txt,0.949,1898,2000
156,/TP02 & TP03/F01.txt,0.2395,479,2000
157,/TP02 & TP03/F02.txt,0.6735,1347,2000
158,/TP02 & TP03/F03.txt,0.947,1894,2000
159,/TP02 & TP03/F04.txt,0.166,332,2000
160,/TP02 & TP03/F05.txt,0.619,1238,2000
161,/TP02 & TP03/F06.txt,0.955,1910,2000
162,/TP02 & TP03/F07.txt,0.2875,575,2000
163,/TP02 & TP03/F08.txt,0.7665,1533,2000
164,/TP02 & TP03/F09.txt,0.9275,1855,2000
165,/TP02 & TP03/F10.txt,0.22,440,2000
166,/TP02 & TP03/F11.txt,0.6715,1343,2000
167,/TP02 & TP03/F12.txt,0.9495,1899,2000
168,/TP02 & TP03/G01.txt,0.183,366,2000
169,/TP02 & TP03/G02.txt,0.6825,1365,2000
170,/TP02 & TP03/G04.txt,0.2065,413,2000
171,/TP02 & TP03/G05.txt,0.651,1302,2000
172,/TP02 & TP03/G06.txt,0.956,1912,2000
173,/TP02 & TP03/G07.txt,0.2785,557,2000
174,/TP02 & TP03/G08.txt,0.7615,1523,2000
175,/TP02 & TP03/G09.txt,0.958,1916,2000
176,/TP02 & TP03/G10.txt,0.25,500,2000
177,/TP02 & TP03/G11.txt,0.689,1378,2000
178,/TP02 & TP03/G12.txt,0.959,1918,2000
179,/TP02 & TP03/H01.txt,0.856,1712,2000
180,/TP02 & TP03/H02.txt,0.001,2,2000
181,/TP02 & TP03/H03.txt,0.13925925925925925,94,675
182,/TP02 & TP03/H07.txt,0.9845,1969,2000
183,/TP02 & TP03/H08.txt,0.016,32,2000
184,/TP02 & TP03/H09.txt,0.11867704280155641,61,514
185,/TP02 & TP03/H12.txt,0.02,40,2000
186,/TP04 & TP05/A01.txt,0.9095,1819,2000
187,/TP04 & TP05/A02.txt,0.005,10,2000
188,/TP04 & TP05/A03.txt,0.217439293598234,197,906
189,/TP04 & TP05/A04.txt,0.3018867924528302,160,530
190,/TP04 & TP05/A05.txt,0.8545,1709,2000
191,/TP04 & TP05/A06.txt,0.0155,31,2000
192,/TP04 & TP05/A07.txt,0.979,1958,2000
193,/TP04 & TP05/A08.txt,0.0065,13,2000
194,/TP04 & TP05/A09.txt,0.2611190817790531,182,697
195,/TP04 & TP05/A10.txt,0.2339622641509434,124,530
196,/TP04 & TP05/A11.txt,0.814,1628,2000
197,/TP04 & TP05/A12.txt,0.0275,55,2000
198,/TP04 & TP05/B01.txt,0.172,344,2000
199,/TP04 & TP05/B02.txt,0.2675,535,2000
200,/TP04 & TP05/B03.txt,0.0415,83,2000
201,/TP04 & TP05/B04.txt,0.74,1480,2000
202,/TP04 & TP05/B05.txt,0.3055,611,2000
203,/TP04 & TP05/B06.txt,0.0445,89,2000
204,/TP04 & TP05/B07.txt,0.5015,1003,2000
205,/TP04 & TP05/B08.txt,0.233,466,2000
206,/TP04 & TP05/B09.txt,0.04,80,2000
207,/TP04 & TP05/B10.txt,0.6065,1213,2000
208,/TP04 & TP05/B11.txt,0.2375,475,2000
209,/TP04 & TP05/B12.txt,0.0465,93,2000
210,/TP04 & TP05/C01.txt,0.464,928,2000
211,/TP04 & TP05/C02.txt,0.301,602,2000
212,/TP04 & TP05/C03.txt,0.05,100,2000
213,/TP04 & TP05/C04.txt,0.737,1474,2000
214,/TP04 & TP05/C05.txt,0.345,690,2000
215,/TP04 & TP05/C06.txt,0.0455,91,2000
216,/TP04 & TP05/C07.txt,0.294,588,2000
217,/TP04 & TP05/C08.txt,0.2155,431,2000
218,/TP04 & TP05/C09.txt,0.036,72,2000
219,/TP04 & TP05/C10.txt,0.643,1286,2000
220,/TP04 & TP05/C11.txt,0.241,482,2000
221,/TP04 & TP05/C12.txt,0.0365,73,2000
222,/TP04 & TP05/D01.txt,0.3465,693,2000
223,/TP04 & TP05/D02.txt,0.3065,613,2000
224,/TP04 & TP05/D03.txt,0.055,110,2000
225,/TP04 & TP05/D04.txt,0.7855,1571,2000
226,/TP04 & TP05/D05.txt,0.341,682,2000
227,/TP04 & TP05/D06.txt,0.053,106,2000
228,/TP04 & TP05/D07.txt,0.5625,1125,2000
229,/TP04 & TP05/D08.txt,0.2495,499,2000
230,/TP04 & TP05/D09.txt,0.0435,87,2000
231,/TP04 & TP05/D10.txt,0.6375,1275,2000
232,/TP04 & TP05/D11.txt,0.2545,509,2000
233,/TP04 & TP05/D12.txt,0.044,88,2000
234,/TP04 & TP05/E01.txt,0.289,578,2000
235,/TP04 & TP05/E02.txt,0.723,1446,2000
236,/TP04 & TP05/E03.txt,0.955,1910,2000
237,/TP04 & TP05/E04.txt,0.162,324,2000
238,/TP04 & TP05/E05.txt,0.6425,1285,2000
239,/TP04 & TP05/E06.txt,0.9255,1851,2000
240,/TP04 & TP05/E07.txt,0.3895,779,2000
241,/TP04 & TP05/E08.txt,0.747,1494,2000
242,/TP04 & TP05/E09.txt,0.956,1912,2000
243,/TP04 & TP05/E10.txt,0.226,452,2000
244,/TP04 & TP05/E11.txt,0.721,1442,2000
245,/TP04 & TP05/E12.txt,0.9435,1887,2000
246,/TP04 & TP05/F01.txt,0.182,364,2000
247,/TP04 & TP05/F02.txt,0.7515,1503,2000
248,/TP04 & TP05/F03.txt,0.956,1912,2000
249,/TP04 & TP05/F04.txt,0.1905,381,2000
250,/TP04 & TP05/F05.txt,0.6235,1247,2000
251,/TP04 & TP05/F06.txt,0.936,1872,2000
252,/TP04 & TP05/F07.txt,0.319,638,2000
253,/TP04 & TP05/F08.txt,0.7245,1449,2000
254,/TP04 & TP05/F09.txt,0.9445,1889,2000
255,/TP04 & TP05/F10.txt,0.1895,379,2000
256,/TP04 & TP05/F11.txt,0.713,1426,2000
257,/TP04 & TP05/F12.txt,0.9185,1837,2000
258,/TP04 & TP05/G01.txt,0.2345,469,2000
259,/TP04 & TP05/G02.txt,0.722,1444,2000
260,/TP04 & TP05/G03.txt,0.9555,1911,2000
261,/TP04 & TP05/G04.txt,0.19,380,2000
262,/TP04 & TP05/G05.txt,0.6855,1371,2000
263,/TP04 & TP05/G06.txt,0.944,1888,2000
264,/TP04 & TP05/G07.txt,0.2655,531,2000
265,/TP04 & TP05/G08.txt,0.7495,1499,2000
266,/TP04 & TP05/G09.txt,0.942,1884,2000
267,/TP04 & TP05/G10.txt,0.255,510,2000
268,/TP04 & TP05/G11.txt,0.7225,1445,2000
269,/TP04 & TP05/G12.txt,0.9325,1865,2000
270,/TP04 & TP05/H01.txt,0.57,1140,2000
271,/TP04 & TP05/H02.txt,0.0135,27,2000
272,/TP04 & TP05/H03.txt,0.042090970807875085,62,1473
273,/TP04 & TP05/H04.txt,0.025735294117647058,21,816
274,/TP04 & TP05/H05.txt,0.8755,1751,2000
275,/TP04 & TP05/H06.txt,0.023,46,2000
276,/TP04 & TP05/H07.txt,0.973,1946,2000
277,/TP04 & TP05/H08.txt,0.015,30,2000
278,/TP04 & TP05/H09.txt,0.06043956043956044,55,910
279,/TP04 & TP05/H10.txt,0.10554561717352415,59,559
280,/TP04 & TP05/H11.txt,0.7915,1583,2000
281,/TP04 & TP05/H12.txt,0.0445,89,2000
