row	well	unstained	stained	time.point	sample	stained_species	freq_Pf_ISX	freq_Ec_ISX	rel_fitness_ISX	freq_Pf_previous_ISX	starting_frequency
A	1	0	100	0	A1	Ec	0	0	NA	0	0
A	5	0.15	99.8	1	A1	Ec	0.0020000000000000287	2.0000000000000286e-5	Inf	0	0
A	9	0.15	99.85	2	A1	Ec	0.0015000000000000568	1.500000000000057e-5	-0.14409147449808155	0.20000000000000284	0
A	1	0	99.95	3	A1	Ec	4.999999999999716e-4	4.999999999999716e-6	-0.5498066448763949	0.15000000000000568	0
A	5	0.1	99.9	4	A1	Ec	9.999999999999432e-4	9.999999999999432e-6	0.3468237779259232	0.04999999999999716	0
A	9	0.35	99.6	5	A1	Ec	0.004000000000000057	4.000000000000057e-5	0.6946509410919586	0.09999999999999432	0
A	2	98.65	1.3	0	A2	Ec	0.9870000000000001	0.009870000000000002	0	98.7	0
A	6	99.4	0.55	1	A2	Ec	0.9945	0.009945	0.43388566204182993	98.7	0
A	10	99.15	0.8	2	A2	Ec	0.9920000000000001	0.009920000000000002	-0.18860522022528317	99.45	0
A	2	98.55	1.45	3	A2	Ec	0.9855	0.009855000000000001	-0.3006405442193981	99.2	0
A	6	98.65	1.35	4	A2	Ec	0.9865	0.009865	0.036236581426023214	98.55	0
A	10	99.3	0.7	5	A2	Ec	0.993	0.00993	0.33167343748578226	98.65	0
A	3	62.0915	34.6405	0	A3	none	0.346405	0.00346405	0	34.6405	0
A	7	61.5385	38.4615	1	A3	none	0.38461500000000004	0.0038461500000000004	0.08243701428372227	34.6405	0
A	11	58.8235	36.4706	2	A3	none	0.364706	0.0036470599999999997	-0.04249554003364635	38.4615	0
A	3	52.5424	44.0678	3	A3	none	0.440678	0.00440678	0.15829272419873547	36.4706	0
A	7	34.2529	65.0575	4	A3	none	0.650575	0.00650575	0.42998926338879895	44.0678	0
A	11	45.509	51.497	5	A3	none	0.51497	0.0051497	-0.2808348695082631	65.0575	0
B	1	9.15	90.85	0	B1	Pf	0.9085	0.009085	0	90.85	0.9
B	5	8.7	91.25	1	B1	Pf	0.9125	0.009125	0.024546688269164143	90.85	0.9
B	9	8.9	91.1	2	B1	Pf	0.9109999999999999	0.00911	-0.009321382282630032	91.25	0.9
B	1	3.3	96.7	3	B1	Pf	0.9670000000000001	0.009670000000000002	0.5258922032294986	91.1	0.9
B	5	4.5	95.5	4	B1	Pf	0.9550000000000001	0.009550000000000001	-0.16132104163820227	96.7	0.9
B	9	5.25	94.75	5	B1	Pf	0.9475	0.009475	-0.08101754167570362	95.5	0.9
B	2	43.4	56.6	0	B2	Pf	0.5660000000000001	0.005660000000000001	0	56.6	0.5
B	6	46.25	53.65	1	B2	Pf	0.5365	0.005365	-0.05964468351896743	56.6	0.5
B	10	48.7	51.3	2	B2	Pf	0.513	0.00513	-0.047124227488331796	53.65	0.5
B	2	34.25	65.65	3	B2	Pf	0.6565000000000001	0.006565000000000001	0.29786192999613376	51.3	0.5
B	6	31.55	68.45	4	B2	Pf	0.6845	0.006845	0.06339719033339436	65.65	0.5
B	10	31.5	68.5	5	B2	Pf	0.685	0.006850000000000001	0.0011581183446782127	68.45	0.5
B	3	87.3	12.65	0	B3	Pf	0.1265	0.001265	0	12.65	0.1
B	7	90.7	9.2	1	B3	Pf	0.092	9.2e-4	-0.17859499007285837	12.65	0.1
B	11	91.7	8.3	2	B3	Pf	0.083	8.3e-4	-0.05640553145380691	9.2	0.1
B	3	87.4	12.6	3	B3	Pf	0.126	0.00126	0.23273419787790464	8.3	0.1
B	7	82.5	17.5	4	B3	Pf	0.17500000000000002	0.0017500000000000003	0.19310052814644532	12.6	0.1
B	11	78.25	21.75	5	B3	Pf	0.2175	0.002175	0.13515117026279871	17.5	0.1
B	4	0.4	99.5	0	B4	Pf	0.995	0.00995	0	99.5	1
B	8	0.3	99.65	1	B4	Pf	0.9965	0.009965	0.17909067321650268	99.5	1
B	12	0.15	99.85	2	B4	Pf	0.9984999999999999	0.009984999999999999	0.42465143679508494	99.65	1
B	4	0	100	3	B4	Pf	1	0.01	Inf	99.85	1
B	8	0.25	99.75	4	B4	Pf	0.9975	0.009975000000000001	-Inf	100	1
B	12	0.15	99.85	5	B4	Pf	0.9984999999999999	0.009984999999999999	0.255913813928902	99.75	1
C	1	10.4	89.5	0	C1	Pf	0.895	0.00895	0	89.5	0.9
C	5	10.1	89.85	1	C1	Pf	0.8985	0.008985	0.01890226981221949	89.5	0.9
C	9	8.65	91.3	2	C1	Pf	0.913	0.009130000000000001	0.08507992709930666	89.85	0.9
C	1	5.05	94.95	3	C1	Pf	0.9495	0.009495	0.2915672160153213	91.3	0.9
C	5	3.3	96.7	4	C1	Pf	0.9670000000000001	0.009670000000000002	0.22186437000789405	94.95	0.9
C	9	3.9	96.1	5	C1	Pf	0.961	0.00961	-0.08663908557308524	96.7	0.9
C	2	42.15	57.8	0	C2	Pf	0.578	0.0057799999999999995	0	57.8	0.5
C	6	38.8	61.15	1	C2	Pf	0.6115	0.006115000000000001	0.06952661534157967	57.8	0.5
C	10	42.95	57.05	2	C2	Pf	0.5705	0.005705	-0.08486517872085228	61.15	0.5
C	2	33.9	66.1	3	C2	Pf	0.6609999999999999	0.0066099999999999996	0.19193115229670785	57.05	0.5
C	6	28.65	71.3	4	C2	Pf	0.713	0.00713	0.12112273609171947	66.1	0.5
C	10	24.5	75.5	5	C2	Pf	0.755	0.00755	0.10773016702481154	71.3	0.5
C	3	84.4	15.6	0	C3	Pf	0.156	0.00156	0	15.6	0.1
C	7	88.35	11.65	1	C3	Pf	0.1165	0.001165	-0.1688517657037878	15.6	0.1
C	11	92.55	7.45	2	C3	Pf	0.0745	7.45e-4	-0.24676749393702124	11.65	0.1
C	3	87.15	12.8	3	C3	Pf	0.128	0.00128	0.3003879233193379	7.45	0.1
C	7	80.85	19.15	4	C3	Pf	0.1915	0.001915	0.2392331447964508	12.8	0.1
C	11	79.75	20.2	5	C3	Pf	0.20199999999999999	0.00202	0.0332259851739284	19.15	0.1
C	4	99.8	0.2	0	C4	Pf	0.002	2e-5	0	0.2	1
C	8	99.3	0.7	1	C4	Pf	0.006999999999999999	7e-5	0.6288927903808296	0.2	1
C	12	99.9	0.1	2	C4	Pf	0.001	1e-5	-0.9759671318293471	0.7	1
C	4	99.9	0.1	3	C4	Pf	0.001	1e-5	0	0.1	1
C	8	99.95	0.05	4	C4	Pf	5e-4	5e-6	-0.3468237779259233	0.1	1
C	12	99.85	0.15	5	C4	Pf	0.0015	1.5e-5	0.5498066448763472	0.05	1
D	1	9.3	90.65	0	D1	Pf	0.9065000000000001	0.009065000000000002	0	90.65	0.9
D	5	11.15	88.8	1	D1	Pf	0.888	0.00888	-0.10057836110159495	90.65	0.9
D	9	7.25	92.75	2	D1	Pf	0.9275	0.009275	0.23921668046194292	88.8	0.9
D	1	4.1	95.9	3	D1	Pf	0.9590000000000001	0.009590000000000001	0.3017063877790853	92.75	0.9
D	9	19.2	80.8	5	D1	Pf	0.8079999999999999	0.00808	-0.857626160842909	95.9	0.9
D	2	40.3	59.65	0	D2	Pf	0.5965	0.005965000000000001	0	59.65	0.5
D	6	38.3	61.7	1	D2	Pf	0.617	0.00617	0.04296564044838737	59.65	0.5
D	10	44.15	55.85	2	D2	Pf	0.5585	0.005585	-0.12087871812975062	61.7	0.5
D	2	31.95	68.05	3	D2	Pf	0.6805	0.006805	0.2604969749043452	55.85	0.5
D	6	13.7862	85.8142	4	D2	Pf	0.858142	0.00858142	0.5219362407090241	68.05	0.5
D	10	6.8	93.2	5	D2	Pf	0.932	0.00932	0.4089410399087528	85.8142	0.5
D	3	83.1	16.9	0	D3	Pf	0.16899999999999998	0.0016899999999999999	0	16.9	0.1
D	7	92.15	7.8	1	D3	Pf	0.078	7.8e-4	-0.43855265846731367	16.9	0.1
D	11	92.45	7.55	2	D3	Pf	0.0755	7.55e-4	-0.017641998852599188	7.8	0.1
D	3	89.8	10.2	3	D3	Pf	0.102	0.0010199999999999999	0.16496156977713602	7.55	0.1
D	7	50	33.3333	4	D3	Pf	0.33333300000000005	0.0033333300000000007	0.7410242872288042	10.2	0.1
D	11	29.1	70.75	5	D3	Pf	0.7075	0.0070750000000000006	0.7882108217029009	33.3333	0.1
E	1	64.35	35.6	0	E1	Ec	0.644	0.00644	0	64.4	0.9
E	5	59.05	40.95	1	E1	Ec	0.5905	0.0059050000000000005	-0.11336763145401535	64.4	0.9
E	9	72.6	27.4	2	E1	Ec	0.726	0.00726	0.3041945880462164	59.05	0.9
E	1	67.65	32.35	3	E1	Ec	0.6765000000000001	0.006765000000000001	-0.11834428738341893	72.6	0.9
E	5	69.35	30.65	4	E1	Ec	0.6935	0.006935	0.03940007535436608	67.65	0.9
E	9	70.45	29.55	5	E1	Ec	0.7045	0.007045	0.026143005056981108	69.35	0.9
E	2	10	90	0	E2	Ec	0.1	0.001	0	10	0.5
E	6	12.25	87.75	1	E2	Ec	0.1225	0.001225	0.11412932599049014	10	0.5
E	10	15.15	84.85	2	E2	Ec	0.15150000000000005	0.0015150000000000005	0.12304073281519118	12.25	0.5
E	2	16.25	83.75	3	E2	Ec	0.1625	0.0016250000000000001	0.0415705988977137	15.150000000000006	0.5
E	6	20.85	79.1	4	E2	Ec	0.20900000000000007	0.0020900000000000007	0.15438977306329335	16.25	0.5
E	10	25.4	74.6	5	E2	Ec	0.25400000000000006	0.0025400000000000006	0.12678619130880925	20.900000000000006	0.5
E	3	0.8	99.2	0	E3	Ec	0.007999999999999972	7.999999999999972e-5	0	0.7999999999999972	0.1
E	7	1	99	1	E3	Ec	0.01	1e-4	0.11258085773522528	0.7999999999999972	0.1
E	11	0.6	99.4	2	E3	Ec	0.005999999999999943	5.999999999999943e-5	-0.25742894364696933	1	0.1
E	3	1.15	98.8	3	E3	Ec	0.012000000000000028	1.2000000000000029e-4	0.3496008447343317	0.5999999999999943	0.1
E	7	1.6	98.4	4	E3	Ec	0.015999999999999945	1.5999999999999944e-4	0.14586943657369467	1.2000000000000028	0.1
E	11	2.4	97.6	5	E3	Ec	0.024000000000000056	2.4000000000000058e-4	0.2068142093736657	1.5999999999999943	0.1
F	1	61.5	38.5	0	F1	Ec	0.615	0.00615	0	61.5	0.9
F	5	56.2	43.8	1	F1	Ec	0.562	0.005620000000000001	-0.10954799700074432	61.5	0.9
F	9	71.6	28.4	2	F1	Ec	0.716	0.00716	0.3377114946410971	56.2	0.9
F	1	74.3	25.7	3	F1	Ec	0.743	0.00743	0.06845701551155	71.6	0.9
F	5	74.3	25.7	4	F1	Ec	0.743	0.00743	0	74.3	0.9
F	9	73.9	26.1	5	F1	Ec	0.7390000000000001	0.007390000000000001	-0.010421223098515299	74.3	0.9
F	2	10.2	89.8	0	F2	Ec	0.10200000000000004	0.0010200000000000003	0	10.200000000000003	0.5
F	6	9.6	90.4	1	F2	Ec	0.09599999999999995	9.599999999999995e-4	-0.03364195695320634	10.200000000000003	0.5
F	10	15.45	84.55	2	F2	Ec	0.15450000000000003	0.0015450000000000004	0.27137354846175316	9.599999999999994	0.5
F	2	19.15	80.85	3	F2	Ec	0.19150000000000006	0.0019150000000000007	0.129720600802187	15.450000000000003	0.5
F	6	24.95	75	4	F2	Ec	0.25	0.0025	0.1708402908641754	19.150000000000006	0.5
F	10	23.25	76.75	5	F2	Ec	0.2325	0.0023250000000000002	-0.04781798288291578	25	0.5
F	3	0.85	99	0	F3	Ec	0.01	1e-4	0	1	0.1
F	7	0.65	99.35	1	F3	Ec	0.006500000000000057	6.500000000000058e-5	-0.2171560174778407	1	0.1
F	11	0.65	99.35	2	F3	Ec	0.006500000000000057	6.500000000000058e-5	0	0.6500000000000057	0.1
F	3	0.8	99.2	3	F3	Ec	0.007999999999999972	7.999999999999972e-5	0.10457515974261548	0.6500000000000057	0.1
F	7	1.9	98.1	4	F3	Ec	0.01900000000000006	1.9000000000000058e-4	0.43807404260306043	0.7999999999999972	0.1
F	11	2.55	97.4	5	F3	Ec	0.025999999999999943	2.5999999999999944e-4	0.16040935738893214	1.9000000000000057	0.1
F	4	0	99.9	0	F4	Ec	9.999999999999432e-4	9.999999999999432e-6	0	0.09999999999999432	0
F	8	0.3	99.65	1	F4	Ec	0.0034999999999999433	3.4999999999999435e-5	0.6276343037455564	0.09999999999999432	0
F	12	0	100	2	F4	Ec	0	0	-Inf	0.3499999999999943	0
F	4	0.25	99.7	3	F4	Ec	0.0029999999999999714	2.9999999999999716e-5	Inf	0	0
F	8	0.35	99.65	4	F4	Ec	0.0034999999999999433	3.4999999999999435e-5	0.0773261550681202	0.29999999999999716	0
F	12	0.8	99.2	5	F4	Ec	0.007999999999999972	7.999999999999972e-5	0.41560230277622867	0.3499999999999943	0
G	1	60.1	39.9	0	G1	Ec	0.601	0.00601	0	60.1	0.9
G	5	59.9	40.1	1	G1	Ec	0.599	0.00599	-0.004166673418232033	60.1	0.9
G	9	72	28	2	G1	Ec	0.72	0.0072	0.2715807190159857	59.9	0.9
G	1	76.55	23.45	3	G1	Ec	0.7655	0.0076549999999999995	0.11930600918527637	72	0.9
G	5	76.55	23.45	4	G1	Ec	0.7655	0.0076549999999999995	0	76.55	0.9
G	9	75.15	24.85	5	G1	Ec	0.7515000000000001	0.007515000000000001	-0.03822263177752916	76.55	0.9
G	2	10.3	89.7	0	G2	Ec	0.10299999999999998	0.0010299999999999999	0	10.299999999999997	0.5
G	6	9.25	90.75	1	G2	Ec	0.0925	9.25e-4	-0.05957902389573279	10.299999999999997	0.5
G	10	12.5	87.45	2	G2	Ec	0.12549999999999997	0.0012549999999999998	0.17106919286690397	9.25	0.5
G	2	20.3	79.65	3	G2	Ec	0.20349999999999996	0.0020349999999999995	0.2883927057096823	12.549999999999997	0.5
G	6	26.1	73.9	4	G2	Ec	0.26099999999999995	0.0026099999999999995	0.1618918054209726	20.349999999999994	0.5
G	10	29.25	70.7	5	G2	Ec	0.293	0.00293	0.07995972837300153	26.099999999999994	0.5
G	3	1.05	98.95	0	G3	Ec	0.010499999999999971	1.0499999999999972e-4	0	1.0499999999999972	0.1
G	7	0.85	99.15	1	G3	Ec	0.008499999999999943	8.499999999999944e-5	-0.10666413829222061	1.0499999999999972	0.1
G	11	0.5	99.4	2	G3	Ec	0.005999999999999943	5.999999999999943e-5	-0.17541247648247096	0.8499999999999943	0.1
G	3	1.8	98.2	3	G3	Ec	0.01799999999999997	1.799999999999997e-4	0.5553790934851129	0.5999999999999943	0.1
G	7	2.45	97.55	4	G3	Ec	0.02450000000000003	2.450000000000003e-4	0.15747125397290976	1.7999999999999972	0.1
G	11	2.7	97.3	5	G3	Ec	0.027000000000000027	2.700000000000003e-4	0.04986491316540425	2.450000000000003	0.1
G	4	99.05	0.95	0	G4	Ec	0.9905	0.009905	0	99.05	0
G	8	99	1	1	G4	Ec	0.99	0.0099	-0.02589910869875874	99.05	0
G	12	98.6	1.4	2	G4	Ec	0.986	0.00986	-0.1702604125736086	99	0
G	4	99.05	0.9	3	G4	Ec	0.991	0.00991	0.2234454660031947	98.6	0
G	8	98.65	1.3	4	G4	Ec	0.9870000000000001	0.009870000000000002	-0.1858846375109076	99.1	0
G	12	97.15	2.85	5	G4	Ec	0.9715	0.009715	-0.4003917502145275	98.7	0
H	1	0.45	99.55	0	H1	Pf	0.9954999999999999	0.009955	0	99.55	1
H	5	0.75	99.2	1	H1	Pf	0.9920000000000001	0.009920000000000002	-0.28944308056146506	99.55	1
H	9	0.1	99.9	2	H1	Pf	0.9990000000000001	0.00999	1.0432366065217848	99.2	1
H	1	0.15	99.8	3	H1	Pf	0.998	0.009980000000000001	-0.347074341448553	99.9	1
H	5	0.15	99.85	4	H1	Pf	0.9984999999999999	0.009984999999999999	0.14409147449808155	99.8	1
H	9	0.05	99.9	5	H1	Pf	0.9990000000000001	0.00999	0.20298286695047146	99.85	1
H	2	98.85	1.15	0	H2	Pf	0.0115	1.15e-4	0	1.15	1
H	6	99.2	0.8	1	H2	Pf	0.008	8e-5	-0.18321997918178481	1.15	1
H	10	99.4	0.6	2	H2	Pf	0.006	6e-5	-0.14484808591174111	0.8	1
H	2	99.15	0.85	3	H2	Pf	0.0085	8.5e-5	0.1754124764824696	0.6	1
H	6	99.4	0.55	4	H2	Pf	0.0055000000000000005	5.500000000000001e-5	-0.21916961079601088	0.85	1
H	10	99.4	0.55	5	H2	Pf	0.0055000000000000005	5.500000000000001e-5	0	0.55	1
H	3	70.852	27.3543	0	H3	none	0.273543	0.00273543	0	27.3543	1
H	7	86.1702	12.766	1	H3	none	0.12766	0.0012766	-0.4725441568413005	27.3543	1
H	11	81.9444	17.3611	2	H3	none	0.17361100000000002	0.0017361100000000001	0.18078016682308595	12.766	1
H	3	59.1346	38.4615	3	H3	none	0.38461500000000004	0.0038461500000000004	0.5451215942256328	17.3611	1
H	7	61	33.5	4	H3	none	0.335	0.00335	-0.10782562729237372	38.4615	1
